MANARATAK — Complete Master's Specializations Manifest
Range: MAS-0001 to MAS-1116
Markdown files: 112
Total specializations: 1116
Sections per specialization: 16
Created: 06 August 2026

No. | File | Range | Specializations | Bytes | SHA-256
--------------------------------------------------------------------------------------------------------------------------------------------
001 | masters_MAS-0001_to_MAS-0010.md | MAS-0001–MAS-0010 | 10 | 97127 | 0e8a165628e3b03f66e3202438ba937e050469a6cd1ee7f73bd2f63a2e693670
002 | masters_MAS-0011_to_MAS-0020.md | MAS-0011–MAS-0020 | 10 | 104663 | aefc273270ef8428acbd96abc11800c12a39ec842c168b923ca4591e43bb7f69
003 | masters_MAS-0021_to_MAS-0030.md | MAS-0021–MAS-0030 | 10 | 104452 | de8d257575c6941baed3aad340db758a3022acecbdfb6cba31fb724b0764eec4
004 | masters_MAS-0031_to_MAS-0040.md | MAS-0031–MAS-0040 | 10 | 104708 | 8737988f97ee8b8b673bb00f3079f6fbe40d943982f7225d3a85504f4a93eac7
005 | masters_MAS-0041_to_MAS-0050.md | MAS-0041–MAS-0050 | 10 | 110598 | 34c8f0615b4375d15247e28daedcffc0ee08961f27a2ec662d1cf3faecf57cbf
006 | masters_MAS-0051_to_MAS-0060.md | MAS-0051–MAS-0060 | 10 | 99754 | db2f52eb5bbf187948f4643a78eea88a52882c6f3f7995b55fedb261f3e58ea3
007 | masters_MAS-0061_to_MAS-0070.md | MAS-0061–MAS-0070 | 10 | 100176 | 834ee5cc10fbf6c80e5e153e27ff7c742f1517707ee165b02c3da5cbc89a45cd
008 | masters_MAS-0071_to_MAS-0080.md | MAS-0071–MAS-0080 | 10 | 99647 | 88a7ad13b0c25ea1aa0f8daa3f7f022b455cb3338bec3d1d392611958ec1d7d3
009 | masters_MAS-0081_to_MAS-0090.md | MAS-0081–MAS-0090 | 10 | 110288 | 812116dbb1190eebeba4730c6e2bee5944e0040327787b65bd838f8b927105d8
010 | masters_MAS-0091_to_MAS-0100.md | MAS-0091–MAS-0100 | 10 | 107756 | 83287794b651da9acf11c575db5a3683d46900abb7ca4ecfd73ac285e143e956
011 | masters_MAS-0101_to_MAS-0110.md | MAS-0101–MAS-0110 | 10 | 109149 | 404138523b5c8569fad7888853263ba5989c1ae144693e2bd2c8523a9ca1fb48
012 | masters_MAS-0111_to_MAS-0120.md | MAS-0111–MAS-0120 | 10 | 106361 | 0ee0822c968a485c5f5e11206bf637a548fc583efba386985464ac566e28e5e6
013 | masters_MAS-0121_to_MAS-0130.md | MAS-0121–MAS-0130 | 10 | 105789 | 9eb838a356f13ce5031f23fb03e7a6041fceb08f9330f7c065c11c3852730490
014 | masters_MAS-0131_to_MAS-0140.md | MAS-0131–MAS-0140 | 10 | 106169 | 0dc45bdadc92fe3efd2e3e2974a391357f50ddeea596e203f197633ed780a2f8
015 | masters_MAS-0141_to_MAS-0150.md | MAS-0141–MAS-0150 | 10 | 108798 | 8916c868fe70c8a51349276da9f3ab76f4643fef46925ca7cd9e46c4b98a05d0
016 | masters_MAS-0151_to_MAS-0160.md | MAS-0151–MAS-0160 | 10 | 107743 | 39745a7cdf37d4710df838c5067e9782f25b51b274b7770ca0e233640a7bfd03
017 | masters_MAS-0161_to_MAS-0170.md | MAS-0161–MAS-0170 | 10 | 107755 | 4bd48fc26426dce84042f28d11de3f2d46758bbafe5a61e3ddd658ba5e13bb12
018 | masters_MAS-0171_to_MAS-0180.md | MAS-0171–MAS-0180 | 10 | 108489 | 42b89c2e42baea82f63ddf7f09f005de108b0a0761d9876f67bfe4fe4c57688d
019 | masters_MAS-0181_to_MAS-0190.md | MAS-0181–MAS-0190 | 10 | 108387 | 03b0c753a63345d20a68be57bbc38ae33556ce0c65660272ccecc6ae9c743467
020 | masters_MAS-0191_to_MAS-0200.md | MAS-0191–MAS-0200 | 10 | 110231 | fe20af4c850f24ae573c5ecda7909aaa8c1cc59d555d5d00428a5f03a45bfe87
021 | masters_MAS-0201_to_MAS-0210.md | MAS-0201–MAS-0210 | 10 | 107287 | fe6fb0d741e01da69e8536e7c0fb6ec1dfe7f5dc2a9fa4ff24bc9a6aa7f55945
022 | masters_MAS-0211_to_MAS-0220.md | MAS-0211–MAS-0220 | 10 | 106157 | 77d32985c8d6819c7836fe3c75eec2951ffd00bc272ea8f17c022d1f244a6cd0
023 | masters_MAS-0221_to_MAS-0230.md | MAS-0221–MAS-0230 | 10 | 109061 | 2ef5e72af1be7086f7682c182eca3940fffb49bf97e5287a4f1e31141e7818b2
024 | masters_MAS-0231_to_MAS-0240.md | MAS-0231–MAS-0240 | 10 | 109463 | 19a6e6392c6d2683e327450667caed27655472507aaa515b277ed678c96c2de1
025 | masters_MAS-0241_to_MAS-0250.md | MAS-0241–MAS-0250 | 10 | 119744 | 23baa1f99e8b83c9e6b555a1cb74abcabd15e2ebc5866c93a668227d4ef81c2b
026 | masters_MAS-0251_to_MAS-0260.md | MAS-0251–MAS-0260 | 10 | 118008 | 0ebb501f1a839b46ea12e2ccfe5a774af4e94cd6abf1c31722ca6d45ed4b8963
027 | masters_MAS-0261_to_MAS-0270.md | MAS-0261–MAS-0270 | 10 | 120331 | eef98541a8078fab183d2c006aa74c18fc16aa0f6b2ec6974674af398e1db1f4
028 | masters_MAS-0271_to_MAS-0280.md | MAS-0271–MAS-0280 | 10 | 120310 | 36e76dddcb1587118fdf9351073b16b1bc3702080f53c09109e3017e7a948830
029 | masters_MAS-0281_to_MAS-0290.md | MAS-0281–MAS-0290 | 10 | 118081 | 59e4334428e5f1a116026bf5f4d55c9595dbe9e8d4f963813fa3d1a408787b71
030 | masters_MAS-0291_to_MAS-0300.md | MAS-0291–MAS-0300 | 10 | 114359 | 34f575f305c27c34326aac1c86f4d57914599786d94a9513cbbf9c4fb4693a0d
031 | masters_MAS-0301_to_MAS-0310.md | MAS-0301–MAS-0310 | 10 | 113763 | ca39fc7254c57a2cf8fb231d209793a7a075742b08d60e26b46c7c675c3075f9
032 | masters_MAS-0311_to_MAS-0320.md | MAS-0311–MAS-0320 | 10 | 115000 | 9008414672d516ae8059e202fe1ca356beb589ba996db7aebbcac33f608c90f2
033 | masters_MAS-0321_to_MAS-0330.md | MAS-0321–MAS-0330 | 10 | 108926 | 3c048485438752d2adfac433f62ff223e8d56197a754ccc316924f518cc458bb
034 | masters_MAS-0331_to_MAS-0340.md | MAS-0331–MAS-0340 | 10 | 108533 | 32b7c88995faae3aa3ce00f1e7489ecc14232d56fcf363cfa7a41578b85abf92
035 | masters_MAS-0341_to_MAS-0350.md | MAS-0341–MAS-0350 | 10 | 106785 | 4fbc0a74d36af3466b02fcd8b7e06c29f36fd16c4a50cdba11810dfdb487ffce
036 | masters_MAS-0351_to_MAS-0360.md | MAS-0351–MAS-0360 | 10 | 107426 | ee81adea5c7ec8614750dfbd92a1f66221098e485fb8c2e1ac5daa620b5cdb28
037 | masters_MAS-0361_to_MAS-0370.md | MAS-0361–MAS-0370 | 10 | 106248 | e972752a05a2dced205c17bf1b65f2a605f932c01e2d5093deca663caae64794
038 | masters_MAS-0371_to_MAS-0380.md | MAS-0371–MAS-0380 | 10 | 106794 | cbf19e866756b19fe3278a71d1d6888b078e3e2c3a08b8f1e36034da50d71e04
039 | masters_MAS-0381_to_MAS-0390.md | MAS-0381–MAS-0390 | 10 | 106496 | 04a94403549a14b34279429e68b1d1b1a0db7ff2e2d7902f9ac257f7ebf95f15
040 | masters_MAS-0391_to_MAS-0400.md | MAS-0391–MAS-0400 | 10 | 106137 | 4018095301f87a8e51730b32e173fc287783ee74b2df5a687af339923712cea7
041 | masters_MAS-0401_to_MAS-0410.md | MAS-0401–MAS-0410 | 10 | 104720 | 4b15625418bfb053a6d94f7bcd7a9be7a4486e0766b7c21f4a5ebbfeb6253e7e
042 | masters_MAS-0411_to_MAS-0420.md | MAS-0411–MAS-0420 | 10 | 104865 | 89afee47760ede6ce8dd67d07a8320226416747e83795f83528674b6aa9f8cd1
043 | masters_MAS-0421_to_MAS-0430.md | MAS-0421–MAS-0430 | 10 | 106286 | 13d783632c87931202706db54084bcfd27e5f9f05197907a5edecaf753f4557f
044 | masters_MAS-0431_to_MAS-0440.md | MAS-0431–MAS-0440 | 10 | 107129 | 3cfccb73cf79196df18985e0a0512ea1e99539b2379627d776118de9cc4dcaa0
