importAction,cityId,sourceCityId,countryIso2,countryIso3,countryNameEn,countryNameAr,continent,continentAr,subregion,subregionAr,regionCode,regionNameEn,regionNameAr,regionMatchStatus,cityNameEn,cityNameAr,localName,cityAscii,capitalRole,cityType,isCountryCapital,isAdministrativeCapital,isMajorCity,isStudyCityCandidate,isUniversityCityCandidate,isTestCenterCityCandidate,latitude,longitude,timezone,population,populationTier,selectionRankInCountry,sourceType,sourceUrl,sourceDataset,verificationStatus,translationStatus,lastImportedAt,notes
UPSERT,city_dz_algiers,1012973369,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-16,Alger,,MATCHED_BY_NORMALIZED_NAME,Algiers,الجزائر,Algiers,Algiers,primary,CAPITAL_CITY,true,false,true,true,NEEDS_REVIEW,NEEDS_REVIEW,36.7539,3.0589,,3415811,LARGE_1M_PLUS,1,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_constantine,1012275076,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-25,Constantine,,MATCHED_BY_NORMALIZED_NAME,Constantine,,Constantine,Constantine,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,36.3500,6.6000,,465138,MEDIUM_100K_PLUS,2,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_batna,1012093229,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-05,Batna,,MATCHED_BY_NORMALIZED_NAME,Batna,,Batna,Batna,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,35.5500,6.1667,,290645,MEDIUM_100K_PLUS,3,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_setif,1012981116,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-19,Sétif,,MATCHED_BY_NORMALIZED_NAME,Setif,,Sétif,Setif,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,36.1900,5.4100,,288461,MEDIUM_100K_PLUS,4,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_djelfa,1012268984,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-17,Djelfa,,MATCHED_BY_NORMALIZED_NAME,Djelfa,,Djelfa,Djelfa,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,34.6667,3.2500,,265833,MEDIUM_100K_PLUS,5,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_annaba,1012600001,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-23,Annaba,,MATCHED_BY_NORMALIZED_NAME,Annaba,,Annaba,Annaba,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,36.9000,7.7667,,257359,MEDIUM_100K_PLUS,6,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_sidi_bel_abbes,1012123414,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-22,Sidi Bel Abbès,,MATCHED_BY_NORMALIZED_NAME,Sidi Bel Abbes,,Sidi Bel Abbès,Sidi Bel Abbes,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,35.1939,-0.6414,,212935,MEDIUM_100K_PLUS,7,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_biskra,1012947247,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-07,Biskra,,MATCHED_BY_NORMALIZED_NAME,Biskra,,Biskra,Biskra,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,34.8500,5.7333,,204661,MEDIUM_100K_PLUS,8,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_tebessa,1012196375,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-12,Tébessa,,MATCHED_BY_NORMALIZED_NAME,Tebessa,,Tébessa,Tebessa,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,35.4000,8.1167,,194461,MEDIUM_100K_PLUS,9,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_dz_ouargla,1012425687,DZ,DZA,Algeria,الجزائر,Africa,إفريقيا,Northern Africa,شمال إفريقيا,DZ-30,Ouargla,,MATCHED_BY_NORMALIZED_NAME,Ouargla,,Ouargla,Ouargla,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,31.9500,5.3167,,191136,MEDIUM_100K_PLUS,10,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for major/study-city candidates,NEEDS_MANUAL_REVIEW,NEEDS_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
