importAction,cityId,sourceCityId,countryIso2,countryIso3,countryNameEn,countryNameAr,continent,continentAr,subregion,subregionAr,regionCode,regionNameEn,regionNameAr,regionMatchStatus,cityNameEn,cityNameAr,localName,cityAscii,capitalRole,cityType,isCountryCapital,isAdministrativeCapital,isMajorCity,isStudyCityCandidate,isUniversityCityCandidate,isTestCenterCityCandidate,latitude,longitude,timezone,population,populationTier,selectionRankInCountry,sourceType,sourceUrl,sourceDataset,verificationStatus,translationStatus,lastImportedAt,notes
UPSERT,city_au_canberra,1036142029,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-ACT,Australian Capital Territory,,MATCHED_BY_NORMALIZED_NAME,Canberra,,Canberra,Canberra,primary,CAPITAL_CITY,true,false,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-35.2931,149.1269,,381488,MEDIUM_100K_PLUS,1,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_melbourne,1036533631,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-VIC,Victoria,,MATCHED_BY_NORMALIZED_NAME,Melbourne,,Melbourne,Melbourne,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-37.8142,144.9631,,5031195,VERY_LARGE_5M_PLUS,2,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_sydney,1036074917,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-NSW,New South Wales,,MATCHED_BY_NORMALIZED_NAME,Sydney,,Sydney,Sydney,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-33.8678,151.2100,,4840600,LARGE_1M_PLUS,3,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_brisbane,1036192929,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-QLD,Queensland,,MATCHED_BY_NORMALIZED_NAME,Brisbane,,Brisbane,Brisbane,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-27.4678,153.0281,,2360241,LARGE_1M_PLUS,4,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_perth,1036178956,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-WA,Western Australia,,MATCHED_BY_NORMALIZED_NAME,Perth,,Perth,Perth,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-31.9559,115.8606,,2141834,LARGE_1M_PLUS,5,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_adelaide,1036538171,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-SA,South Australia,,MATCHED_BY_NORMALIZED_NAME,Adelaide,,Adelaide,Adelaide,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-34.9275,138.6000,,1295714,LARGE_1M_PLUS,6,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_hobart,1036679838,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-TAS,Tasmania,,MATCHED_BY_NORMALIZED_NAME,Hobart,,Hobart,Hobart,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-42.8806,147.3250,,197451,MEDIUM_100K_PLUS,7,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_darwin,1036497565,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-NT,Northern Territory,,MATCHED_BY_NORMALIZED_NAME,Darwin,,Darwin,Darwin,admin,ADMIN_CAPITAL,false,true,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-12.4381,130.8411,,139902,MEDIUM_100K_PLUS,8,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_gold_coast,1036153217,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-QLD,Queensland,,MATCHED_BY_NORMALIZED_NAME,Gold Coast,,Gold Coast,Gold Coast,,MAJOR_CITY,false,false,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-28.0167,153.4000,,607665,MAJOR_500K_PLUS,9,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
UPSERT,city_au_cranbourne,1036685862,AU,AUS,Australia,أستراليا,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-VIC,Victoria,,MATCHED_BY_NORMALIZED_NAME,Cranbourne,,Cranbourne,Cranbourne,,MAJOR_CITY,false,false,true,true,NEEDS_REVIEW,NEEDS_REVIEW,-38.0996,145.2834,,460491,MEDIUM_100K_PLUS,10,MANUAL_FILE_SOURCE,https://gist.github.com/Shokr/9bb67b4e1fa696113780586075cc8be5,worldcities.csv public world cities dataset; filtered for official major/study-city candidates,NEEDS_MANUAL_REVIEW,PARTIAL_AR_TRANSLATION,2026-08-05,"Selected as major/capital/admin/study-city candidate. Excludes villages/towns by quota/filter, but requires manual review before publishing."
