importAction,regionId,countryIso2,countryIso3,countryNameEn,countryNameAr,countryOfficialNameEn,continent,continentAr,subregion,subregionAr,regionCode,parentRegionCode,parentRegionNameEn,adminLevel,regionType,regionTypeRaw,nameEn,nameAr,localName,isActive,sourceType,sourceUrl,sourceDataset,verificationStatus,translationStatus,lastImportedAt,notes
UPSERT,reg_ag_03,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-03,,,1,parish,Parish,Saint George,,Saint George,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ag_04,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-04,,,1,parish,Parish,Saint John,,Saint John,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ag_05,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-05,,,1,parish,Parish,Saint Mary,,Saint Mary,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ag_06,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-06,,,1,parish,Parish,Saint Paul,,Saint Paul,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ag_07,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-07,,,1,parish,Parish,Saint Peter,,Saint Peter,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ag_08,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-08,,,1,parish,Parish,Saint Philip,,Saint Philip,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ag_10,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-10,,,1,dependency,Dependency,Barbuda,,Barbuda,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ag_11,AG,ATG,Antigua and Barbuda,أنتيغوا وبربودا,,Americas,الأمريكتان,Caribbean,الكاريبي,AG-11,,,1,dependency,Dependency,Redonda,,Redonda,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ar_a,AR,ARG,Argentina,الأرجنتين,Argentine Republic,Americas,الأمريكتان,South America,أمريكا الجنوبية,AR-A,,,1,province,Province,Salta,,Salta,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ar_b,AR,ARG,Argentina,الأرجنتين,Argentine Republic,Americas,الأمريكتان,South America,أمريكا الجنوبية,AR-B,,,1,province,Province,Buenos Aires,,Buenos Aires,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
