importAction,regionId,countryIso2,countryIso3,countryNameEn,countryNameAr,countryOfficialNameEn,continent,continentAr,subregion,subregionAr,regionCode,parentRegionCode,parentRegionNameEn,adminLevel,regionType,regionTypeRaw,nameEn,nameAr,localName,isActive,sourceType,sourceUrl,sourceDataset,verificationStatus,translationStatus,lastImportedAt,notes
UPSERT,reg_ae_aj,AE,ARE,United Arab Emirates,الإمارات العربية المتحدة,,Asia,آسيا,Western Asia,غرب آسيا,AE-AJ,,,1,emirate,Emirate,‘Ajmān,,‘Ajmān,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ae_az,AE,ARE,United Arab Emirates,الإمارات العربية المتحدة,,Asia,آسيا,Western Asia,غرب آسيا,AE-AZ,,,1,emirate,Emirate,Abū Z̧aby,,Abū Z̧aby,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ae_du,AE,ARE,United Arab Emirates,الإمارات العربية المتحدة,,Asia,آسيا,Western Asia,غرب آسيا,AE-DU,,,1,emirate,Emirate,Dubayy,,Dubayy,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ae_fu,AE,ARE,United Arab Emirates,الإمارات العربية المتحدة,,Asia,آسيا,Western Asia,غرب آسيا,AE-FU,,,1,emirate,Emirate,Al Fujayrah,,Al Fujayrah,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ae_rk,AE,ARE,United Arab Emirates,الإمارات العربية المتحدة,,Asia,آسيا,Western Asia,غرب آسيا,AE-RK,,,1,emirate,Emirate,Ra’s al Khaymah,,Ra’s al Khaymah,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ae_sh,AE,ARE,United Arab Emirates,الإمارات العربية المتحدة,,Asia,آسيا,Western Asia,غرب آسيا,AE-SH,,,1,emirate,Emirate,Ash Shāriqah,,Ash Shāriqah,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ae_uq,AE,ARE,United Arab Emirates,الإمارات العربية المتحدة,,Asia,آسيا,Western Asia,غرب آسيا,AE-UQ,,,1,emirate,Emirate,Umm al Qaywayn,,Umm al Qaywayn,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_af_bal,AF,AFG,Afghanistan,أفغانستان,Islamic Republic of Afghanistan,Asia,آسيا,Southern Asia,جنوب آسيا,AF-BAL,,,1,province,Province,Balkh,,Balkh,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_af_bam,AF,AFG,Afghanistan,أفغانستان,Islamic Republic of Afghanistan,Asia,آسيا,Southern Asia,جنوب آسيا,AF-BAM,,,1,province,Province,Bāmyān,,Bāmyān,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_af_bdg,AF,AFG,Afghanistan,أفغانستان,Islamic Republic of Afghanistan,Asia,آسيا,Southern Asia,جنوب آسيا,AF-BDG,,,1,province,Province,Bādghīs,,Bādghīs,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
