importAction,regionId,countryIso2,countryIso3,countryNameEn,countryNameAr,countryOfficialNameEn,continent,continentAr,subregion,subregionAr,regionCode,parentRegionCode,parentRegionNameEn,adminLevel,regionType,regionTypeRaw,nameEn,nameAr,localName,isActive,sourceType,sourceUrl,sourceDataset,verificationStatus,translationStatus,lastImportedAt,notes
UPSERT,reg_ad_02,AD,AND,Andorra,أندورا,Principality of Andorra,Europe,أوروبا,Southern Europe,جنوب أوروبا,AD-02,,,1,parish,Parish,Canillo,,Canillo,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ad_03,AD,AND,Andorra,أندورا,Principality of Andorra,Europe,أوروبا,Southern Europe,جنوب أوروبا,AD-03,,,1,parish,Parish,Encamp,,Encamp,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ad_04,AD,AND,Andorra,أندورا,Principality of Andorra,Europe,أوروبا,Southern Europe,جنوب أوروبا,AD-04,,,1,parish,Parish,La Massana,,La Massana,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ad_05,AD,AND,Andorra,أندورا,Principality of Andorra,Europe,أوروبا,Southern Europe,جنوب أوروبا,AD-05,,,1,parish,Parish,Ordino,,Ordino,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ad_06,AD,AND,Andorra,أندورا,Principality of Andorra,Europe,أوروبا,Southern Europe,جنوب أوروبا,AD-06,,,1,parish,Parish,Sant Julià de Lòria,,Sant Julià de Lòria,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ad_07,AD,AND,Andorra,أندورا,Principality of Andorra,Europe,أوروبا,Southern Europe,جنوب أوروبا,AD-07,,,1,parish,Parish,Andorra la Vella,,Andorra la Vella,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ad_08,AD,AND,Andorra,أندورا,Principality of Andorra,Europe,أوروبا,Southern Europe,جنوب أوروبا,AD-08,,,1,parish,Parish,Escaldes-Engordany,,Escaldes-Engordany,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_al_01,AL,ALB,Albania,ألبانيا,Republic of Albania,Europe,أوروبا,Southern Europe,جنوب أوروبا,AL-01,,,1,county,County,Berat,,Berat,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_al_02,AL,ALB,Albania,ألبانيا,Republic of Albania,Europe,أوروبا,Southern Europe,جنوب أوروبا,AL-02,,,1,county,County,Durrës,,Durrës,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_al_03,AL,ALB,Albania,ألبانيا,Republic of Albania,Europe,أوروبا,Southern Europe,جنوب أوروبا,AL-03,,,1,county,County,Elbasan,,Elbasan,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_al_04,AL,ALB,Albania,ألبانيا,Republic of Albania,Europe,أوروبا,Southern Europe,جنوب أوروبا,AL-04,,,1,county,County,Fier,,Fier,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
