importAction,regionId,countryIso2,countryIso3,countryNameEn,countryNameAr,countryOfficialNameEn,continent,continentAr,subregion,subregionAr,regionCode,parentRegionCode,parentRegionNameEn,adminLevel,regionType,regionTypeRaw,nameEn,nameAr,localName,isActive,sourceType,sourceUrl,sourceDataset,verificationStatus,translationStatus,lastImportedAt,notes
UPSERT,reg_au_act,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-ACT,,,1,territory,Territory,Australian Capital Territory,,Australian Capital Territory,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_au_nsw,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-NSW,,,1,state,State,New South Wales,,New South Wales,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_au_nt,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-NT,,,1,territory,Territory,Northern Territory,,Northern Territory,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_au_qld,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-QLD,,,1,state,State,Queensland,,Queensland,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_au_sa,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-SA,,,1,state,State,South Australia,,South Australia,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_au_tas,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-TAS,,,1,state,State,Tasmania,,Tasmania,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_au_vic,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-VIC,,,1,state,State,Victoria,,Victoria,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_au_wa,AU,AUS,Australia,أستراليا,,Oceania,أوقيانوسيا,Australia and New Zealand,أستراليا ونيوزيلندا,AU-WA,,,1,state,State,Western Australia,,Western Australia,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_fj_01,FJ,FJI,Fiji,فيجي,Republic of Fiji,Oceania,أوقيانوسيا,Melanesia,ميلانيزيا,FJ-01,FJ-W,Western,2,province,Province,Ba,,Ba,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_fj_02,FJ,FJI,Fiji,فيجي,Republic of Fiji,Oceania,أوقيانوسيا,Melanesia,ميلانيزيا,FJ-02,FJ-N,Northern,2,province,Province,Bua,,Bua,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_fj_03,FJ,FJI,Fiji,فيجي,Republic of Fiji,Oceania,أوقيانوسيا,Melanesia,ميلانيزيا,FJ-03,FJ-N,Northern,2,province,Province,Cakaudrove,,Cakaudrove,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_fj_04,FJ,FJI,Fiji,فيجي,Republic of Fiji,Oceania,أوقيانوسيا,Melanesia,ميلانيزيا,FJ-04,FJ-E,Eastern,2,province,Province,Kadavu,,Kadavu,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_fj_05,FJ,FJI,Fiji,فيجي,Republic of Fiji,Oceania,أوقيانوسيا,Melanesia,ميلانيزيا,FJ-05,FJ-E,Eastern,2,province,Province,Lau,,Lau,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
