importAction,regionId,countryIso2,countryIso3,countryNameEn,countryNameAr,countryOfficialNameEn,continent,continentAr,subregion,subregionAr,regionCode,parentRegionCode,parentRegionNameEn,adminLevel,regionType,regionTypeRaw,nameEn,nameAr,localName,isActive,sourceType,sourceUrl,sourceDataset,verificationStatus,translationStatus,lastImportedAt,notes
UPSERT,reg_ao_bgo,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-BGO,,,1,province,Province,Bengo,,Bengo,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_bgu,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-BGU,,,1,province,Province,Benguela,,Benguela,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_bie,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-BIE,,,1,province,Province,Bié,,Bié,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_cab,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-CAB,,,1,province,Province,Cabinda,,Cabinda,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_ccu,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-CCU,,,1,province,Province,Cuando Cubango,,Cuando Cubango,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_cnn,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-CNN,,,1,province,Province,Cunene,,Cunene,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_cno,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-CNO,,,1,province,Province,Cuanza-Norte,,Cuanza-Norte,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_cus,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-CUS,,,1,province,Province,Cuanza-Sul,,Cuanza-Sul,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_hua,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-HUA,,,1,province,Province,Huambo,,Huambo,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
UPSERT,reg_ao_hui,AO,AGO,Angola,أنغولا,Republic of Angola,Africa,إفريقيا,Middle Africa,وسط إفريقيا,AO-HUI,,,1,province,Province,Huíla,,Huíla,true,ISO_3166_2,https://www.iso.org/obp/ui/#search,ISO 3166-2 subdivisions via pycountry/isocodes,REFERENCE_DATA_IMPORTED,NEEDS_AR_TRANSLATION,2026-08-05,Administrative subdivision only; cities are imported in later city files.
